author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,1,38.9,-1,0,11300000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
Regions Development,developer,https://www.cian.ru/sale/flat/301581497/,Москва,sale,flat,5,24,1,58.2,-1,0,25537891,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
ID 84856352,homeowner,https://www.cian.ru/sale/flat/301505612/,Москва,sale,flat,5,14,1,34.6,-1,0,13650000,Нагорный,Ялтинская ,8,Севастопольская,
Sminex,developer,https://www.cian.ru/sale/flat/301346263/,Москва,sale,flat,8,14,1,44.6,-1,0,25870000,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
ID 107731295,homeowner,https://www.cian.ru/sale/flat/300793109/,Москва,sale,flat,1,12,1,16.0,-1,0,4990000,Люблино,Краснодарская ,56,Люблино,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/291868741/,Москва,sale,flat,3,13,1,54.02,-1,0,29997306,,,В20 кв-л,Павшино,Сберсити ЖК
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9750000,Гольяново,Уральская ,1,Щёлковская,
MR Group,developer,https://www.cian.ru/sale/flat/296523631/,Москва,sale,flat,3,36,1,40.8,-1,0,28058677,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Юлия Иванова,realtor,https://www.cian.ru/sale/flat/301083049/,Москва,sale,flat,45,52,1,43.1,-1,0,25750000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
FORMA,developer,https://www.cian.ru/sale/flat/298377746/,Москва,sale,flat,24,26,1,42.45,-1,0,36260790,Пресненский,к2.2,к2.2,Белорусская,Репаблик ЖК
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301499403/,Москва,sale,flat,5,5,1,30.0,-1,0,10000000,Хорошевский, Куусинена,6К5,Полежаевская,
